"","Acarina.","Pardosa.glacialis","Xysticus.deichmanni","Byrdia.sp.","Noctuidae.","Anarta.richardsoni","Boloria.polaris","Tipula.arctica","Limnophyes.sp.","Smittia.sp.","Smittia.velutina","Empididae.","Carposcalis.carinata","Phalacrodira.nigropilosa","Metasyrphus.chillcotti","Calliphoridae.","Boreellus.atriceps","Scatophaga.apicaulis","Scatophaga.multisetosa","Fucellia.pictipennis","Eupogonomyia.groenlandica","Nematus.sp.","Parasitica.","Cryptus.arcticus","Oresbius.sp.","Bombus.sp.","Boloria.chariclea","Plebius.aquilo","Chironomidae.","Paraphaenocladius.despectus","Cecidomyiidae.","Syrphidae.","Phormia.terraenovae","Pectinarctica.stylata","Periscepsia.sp.","Crymodes.exulis","Lasiestra.leucocycla","Lycaena.feildeni","Dolichopus.dasyops","Rhamphomyia.filicauda","Rhamphomyia.nigrita","Peleteria.aenea","Pogonomyoides.segnis","Spilogona.sanctipauli","Corynoneura.scutellata","Bradysia..sp.","Spilogona.melanosoma","Chalcidae.","Tridymus.sp.","Atractodes.sp.","Mesoleptus.sp.","Stenomacrus.sp.","Tetrastichus.sp.","Colias.hecla","Muscidae.","Bryobia..praetiosa.","Sympistris.labradoris","Trissocladius.","Dictyna.borealis","Entomobrya.comparata","Heterotrissocladius.subpilosus","Rhamphomyia.sp.","Protanypus.caudatus","Xysticus.deichmanni.1","Nematocera.","Arctoseius.cetratus","Eriophyidae.","Cecidophyes.sp.","Tarentula.exasperans","Tarentula.exasperans..prob..","Lycaenidae.","Metrocnemius.ursinus","Scatophaga.sp.","Moths.","Orthocladiinae.gn.","Microspectra.sp.","Bradysia.2.sp.","Phytomyza.erigerontophaga","Tachinidae.","Erigone.pyschrophila","Apatania.zonella","Lepidoptera.","Boloria.sp.","Procladius.sp.","Cricotopus.sp.","Psectrocladius.","Microspectra.groenlandica","Forcipomyia..Thryridomyia..sp.","Ceratopogon..Ceratopogon...sp.","Ceratopogon..Isohelea...sp.","Culicoides.sp.","Aedes.sp.","Aedes.impiger","Aedes.nigripes","Rhamphomyia.hoeli","Rhamphomyia.ursinella","Helophilus.borealis","Allopiophila.fulviceps","Lasiopiophila.pilosa","Pegomyia.sp.","Pegomyia.arctica","Spilogona.sp.","Spilogona.denudata","Spilogona.dorsata","Spilogona.extensa","Spilogona.latilamina","Spilogona.obsoleta","Spilogona.tornensis","Spilogona.tundrae","Ichneumonidae.","Apanteles.sp.","Mesoleius.sp.","Saotis.sp.","Stenomacnis.sp.","Olethreutes.inquietana"
"Braya.purpurescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga.hirculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga.oppositifolia",0,0,0,0,16,0,2,0,21,4,479,0,19,19,3,15,37,21,0,7,1,1,0,0,0,1,0,0,15,20,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,10,2,2,2,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saxifraga.tricuspidata",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla.nivea",0,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dryas.integrifolia",0,0,0,1,10,10,6,0,3,11,5,2,25,0,1,0,0,1,0,0,22,0,0,0,0,13,9,0,2,0,0,0,0,0,1,2,5,0,0,222,53,3,26,37,2,13,13,0,0,0,0,0,0,1,17,2,9,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,1,4,0,0,0,2,1,1,1,1,1,1,1,1,1,1,2,3,21,2,18,36,1,2,1,1,1,1,4,3,1,1,3,1,1,5,1,1,2,2,2,0
"Epilobium.latifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope.tetragona",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedicularis.capitata",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedicularis.arctica",0,0,0,0,0,0,0,0,32,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigeron.compositus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erigeron.eriocephalus",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysanthemum.integrifolium",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arnica.alpina",0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,28,2,0,0,0,1,0,0,0,0,9,30,4,0,0,0,0,0,0,0,8,9,1,0,6,5,7,1,0,0,0,0,0,0,0,1,0,0,10,11,0,0,0,1,0,5,1,2,28,0,0,0,0,0,0,0,0,0,1,0,0,2,0,17,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Taraxacum.arctogenum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
